3 0.851783 0.918009 0.294248 0.158251 0.642101 86
1 0.859795 0.437979 0.280409 0.189142 0.782612 40
1 0.872759 0.441777 0.254483 0.181731 0.837751 40
1 0.886163 0.484916 0.227674 0.194016 0.650302 40
1 0.883684 0.489018 0.229662 0.186736 0.903999 40
1 0.870417 0.536512 0.259166 0.198311 0.588926 40
1 0.866701 0.540314 0.263827 0.200591 0.693863 40
1 0.888747 0.57056 0.218752 0.199784 0.703705 40
1 0.885977 0.574422 0.222482 0.205192 0.500154 40
1 0.866424 0.454773 0.249974 0.188716 0.278111 40
1 0.864338 0.457709 0.258544 0.179736 0.781347 40
1 0.859345 0.389315 0.271261 0.185473 0.439466 40
1 0.876013 0.388103 0.238479 0.183334 0.253141 40
1 0.895662 0.341907 0.208676 0.18384 0.77941 40
1 0.892807 0.345628 0.214183 0.177907 0.74306 40
1 0.930186 0.292685 0.139629 0.183954 0.526815 40
1 0.928435 0.297034 0.14313 0.177011 0.871277 40
1 0.947817 0.257016 0.104366 0.181239 0.197601 40
1 0.953347 0.249022 0.0903779 0.184113 0.295563 40
3 0.287117 0.487108 0.555163 0.974215 0.448153
1 0.908595 0.290155 0.182809 0.193444 0.235604
3 0.287117 0.487108 0.555163 0.974215 0.448153
3 0.802756 0.927057 0.383903 0.141256 0.547522
1 0.874292 0.378837 0.248416 0.183788 0.547194
3 0.802756 0.927057 0.383903 0.141256 0.547522
1 0.874292 0.378837 0.248416 0.183788 0.547194
1 0.869167 0.448308 0.258008 0.175893 0.716277
3 0.695663 0.950085 0.608675 0.0998309 0.217513
1 0.869167 0.448308 0.258008 0.175893 0.716277 93
1 0.843621 0.45334 0.262019 0.185294 0.842752 93
1 0.844796 0.45948 0.265387 0.188508 0.739681 93
1 0.822868 0.413219 0.269922 0.188465 0.924772 93
1 0.824756 0.404944 0.274908 0.204958 0.865298 93
1 0.804223 0.438471 0.271841 0.193105 0.93897 93
1 0.805703 0.443931 0.279397 0.188916 0.878488 93
1 0.79442 0.448571 0.270842 0.182363 0.92635 93
1 0.794569 0.449582 0.27546 0.179426 0.936888 93
3 0.69972 0.942521 0.600561 0.111873 0.662196 97
1 0.772747 0.44681 0.270069 0.174756 0.947136 93
3 0.690767 0.937384 0.560657 0.117278 0.512668 97
1 0.773303 0.445357 0.274462 0.179241 0.917592 93
3 0.78552 0.934514 0.416004 0.128742 0.695249 97
1 0.747584 0.477335 0.270305 0.178731 0.942083 93
1 0.747247 0.480684 0.273713 0.178124 0.910926 93
1 0.732583 0.476745 0.266801 0.176725 0.949946 93
1 0.734415 0.476558 0.268667 0.179491 0.82798 93
1 0.708349 0.472403 0.268528 0.177522 0.938797 93
1 0.709438 0.473316 0.271552 0.18148 0.837898 93
1 0.685421 0.479115 0.269879 0.187276 0.919491 93
1 0.687807 0.477943 0.276604 0.198874 0.904613 93
1 0.67219 0.470038 0.27641 0.193977 0.934334 93
1 0.673447 0.473562 0.281499 0.195331 0.932883 93
3 0.831088 0.933861 0.337823 0.129168 0.617253 104
1 0.664158 0.488858 0.277685 0.202279 0.934612 93
3 0.81821 0.938063 0.361142 0.123873 0.338215 104
1 0.666087 0.490911 0.284254 0.205341 0.939838 93
3 0.854878 0.920409 0.289471 0.152595 0.327467 104
1 0.662049 0.48137 0.279008 0.191031 0.924191 93
3 0.82978 0.926329 0.340439 0.139227 0.484632 104
1 0.662685 0.470594 0.283987 0.217169 0.884939 93
3 0.848691 0.910781 0.302617 0.171725 0.345542 104
1 0.664412 0.463397 0.281066 0.199026 0.935004 93
3 0.847322 0.914206 0.305356 0.156725 0.459675 104
1 0.666832 0.466774 0.284179 0.20079 0.874323 93
3 0.860743 0.898795 0.278514 0.194596 0.373445 104
1 0.663118 0.463573 0.280918 0.188794 0.930428 93
3 0.848436 0.915253 0.302557 0.16435 0.642336 104
1 0.664495 0.464535 0.288684 0.184756 0.935971 93
3 0.84779 0.906989 0.30442 0.184229 0.384639 104
1 0.665211 0.456017 0.280343 0.188165 0.920757 93
3 0.845367 0.919884 0.3083 0.157407 0.607835 104
1 0.666577 0.457181 0.283769 0.191313 0.926804 93
3 0.843365 0.914948 0.313271 0.169441 0.57494 104
1 0.664919 0.454179 0.279682 0.18824 0.923359 93
3 0.833879 0.923652 0.332241 0.147522 0.700507 104
1 0.666666 0.456563 0.282627 0.182979 0.934004 93
3 0.832909 0.909147 0.334181 0.18041 0.564322 104
1 0.665969 0.448924 0.278611 0.181765 0.9261 93
3 0.821943 0.918958 0.355457 0.158481 0.655541 104
1 0.666146 0.449975 0.282089 0.176449 0.919155 93
3 0.822638 0.908755 0.354725 0.181908 0.290899 104
1 0.682208 0.414311 0.275967 0.184153 0.917989 93
3 0.796775 0.913848 0.40645 0.156094 0.504636 104
1 0.682903 0.414943 0.27816 0.184092 0.921114 93
1 0.700313 0.387229 0.274822 0.186309 0.934827 93
3 0.816613 0.924118 0.366773 0.138495 0.716232 104
1 0.702103 0.385786 0.279679 0.192597 0.858787 93
3 0.790986 0.907169 0.416268 0.173586 0.34264 104
1 0.702007 0.38579 0.276789 0.189774 0.943611 93
3 0.799359 0.925332 0.396819 0.148002 0.647398 104
1 0.703722 0.388792 0.283095 0.185999 0.897099 93
3 0.789495 0.908675 0.416507 0.176406 0.614623 104
1 0.703069 0.384121 0.278377 0.18737 0.926844 93
3 0.807238 0.92439 0.383564 0.145571 0.677494 104
1 0.703885 0.386942 0.28289 0.186127 0.922346 93
3 0.825666 0.91492 0.3436 0.162478 0.466544 104
1 0.702134 0.375585 0.281261 0.183739 0.951081 93
3 0.829598 0.912794 0.337102 0.167882 0.654226 104
1 0.704275 0.378088 0.285789 0.183599 0.915841 93
3 0.823907 0.899532 0.348865 0.19626 0.855494 104
1 0.704669 0.367421 0.282874 0.181771 0.93708 93
3 0.826229 0.902341 0.343805 0.19098 0.65388 104
1 0.707564 0.366332 0.290293 0.180142 0.92247 93
3 0.822901 0.888495 0.350401 0.221278 0.485995 104
1 0.70416 0.357573 0.286567 0.184152 0.947918 93
3 0.811998 0.913131 0.374753 0.17227 0.678597 104
1 0.705535 0.355199 0.292309 0.185884 0.911016 93
3 0.791086 0.895344 0.415681 0.20633 0.368384 104
1 0.712181 0.435955 0.302793 0.209242 0.17342 93
1 0.71466 0.42197 0.31558 0.234419 0.366732 93
1 0.652313 0.778493 0.468515 0.392843 0.512566 93
2 0.655619 0.791621 0.506228 0.37366 0.582353 93
3 0.315741 0.942945 0.566922 0.11411 0.674924
3 0.419971 0.945769 0.53687 0.105913 0.561094
3 0.176547 0.946491 0.346313 0.106117 0.506648
3 0.315741 0.942945 0.566922 0.11411 0.674924 120
3 0.569838 0.637382 0.854755 0.725236 0.475658
3 0.727291 0.637395 0.524071 0.72521 0.244685
3 0.569838 0.637382 0.854755 0.725236 0.475658
3 0.586248 0.414302 0.817793 0.828604 0.290486
3 0.586248 0.414302 0.817793 0.828604 0.290486
3 0.586933 0.407453 0.81648 0.814905 0.322229
3 0.586933 0.407453 0.81648 0.814905 0.322229
3 0.582727 0.409514 0.826279 0.819028 0.289313
3 0.582727 0.409514 0.826279 0.819028 0.289313
3 0.583688 0.404699 0.823449 0.809398 0.320391
3 0.583688 0.404699 0.823449 0.809398 0.320391
3 0.584295 0.397822 0.823336 0.795644 0.279507
3 0.584295 0.397822 0.823336 0.795644 0.279507
3 0.585459 0.397723 0.822181 0.795446 0.24462
3 0.585862 0.389693 0.821342 0.779386 0.216705
3 0.587174 0.393652 0.819708 0.787303 0.200258
3 0.58564 0.400074 0.823501 0.800149 0.258681
3 0.58564 0.400074 0.823501 0.800149 0.258681
3 0.584128 0.399126 0.82707 0.798251 0.233736
3 0.589266 0.3947 0.817755 0.789401 0.184938
3 0.589211 0.396447 0.818512 0.792894 0.174103
